,Adipose Tissue,Adrenal Gland,Bladder,Blood,Blood Vessel,Bone Marrow,Brain,Breast,Cervix Uteri,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Salivary Gland,Skin,Small Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
6015,,,,GTEX-14PJ6-0001-SM-7DLF2,,,,,,,,,,,,,,,,,,,,,,,,,,,
6016,,,,GTEX-14PJ6-0006-SM-7P8RE,,,,,,,,,,,,,,,,,,,,,,,,,,,
6038,,,,GTEX-14PJM-0003-SM-5GYE8,,,,,,,,,,,,,,,,,,,,,,,,,,,
6039,,,,GTEX-14PJM-0003-SM-7DLG8,,,,,,,,,,,,,,,,,,,,,,,,,,,
6040,,,,GTEX-14PJM-0006-SM-9JGHA,,,,,,,,,,,,,,,,,,,,,,,,,,,
6078,,,,GTEX-14PJN-0002-SM-5GYEC,,,,,,,,,,,,,,,,,,,,,,,,,,,
6079,,,,GTEX-14PJN-0002-SM-7DRP3,,,,,,,,,,,,,,,,,,,,,,,,,,,
6080,,,,GTEX-14PJN-0005-SM-9JGGF,,,,,,,,,,,,,,,,,,,,,,,,,,,
6092,,,,GTEX-14PJO-0003-SM-5GYDZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6093,,,,GTEX-14PJO-0003-SM-7DRON,,,,,,,,,,,,,,,,,,,,,,,,,,,
6094,,,,GTEX-14PJO-0005-SM-9JGGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
6119,,,,GTEX-14PJP-0001-SM-5GYEA,,,,,,,,,,,,,,,,,,,,,,,,,,,
6120,,,,GTEX-14PJP-0001-SM-7DLEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6121,,,,GTEX-14PJP-0005-SM-7P8OM,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122,,,,GTEX-14PK6-0003-SM-5GYF3,,,,,,,,,,,,,,,,,,,,,,,,,,,
6123,,,,GTEX-14PK6-0003-SM-7DRPF,,,,,,,,,,,,,,,,,,,,,,,,,,,
6124,,,,GTEX-14PK6-0006-SM-7PC1L,,,,,,,,,,,,,,,,,,,,,,,,,,,
6146,,,,GTEX-14PKU-0004-SM-6RBLN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6147,,,,GTEX-14PKU-0004-SM-7DLF7,,,,,,,,,,,,,,,,,,,,,,,,,,,
6148,,,,GTEX-14PKU-0005-SM-9KNTL,,,,,,,,,,,,,,,,,,,,,,,,,,,
6165,,,,GTEX-14PKV-0002-SM-6RBLM,,,,,,,,,,,,,,,,,,,,,,,,,,,
6166,,,,GTEX-14PKV-0002-SM-7DLG9,,,,,,,,,,,,,,,,,,,,,,,,,,,
6167,,,,GTEX-14PKV-0006-SM-9MQL3,,,,,,,,,,,,,,,,,,,,,,,,,,,
6181,,,,GTEX-14PN3-0004-SM-6RBLO,,,,,,,,,,,,,,,,,,,,,,,,,,,
6182,,,,GTEX-14PN3-0004-SM-7DLGK,,,,,,,,,,,,,,,,,,,,,,,,,,,
6183,,,,GTEX-14PN3-0006-SM-7SB6O,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,,,,GTEX-14PN4-0001-SM-6RBKN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6206,,,,GTEX-14PN4-0001-SM-7DRP6,,,,,,,,,,,,,,,,,,,,,,,,,,,
6207,,,,GTEX-14PN4-0005-SM-7PC21,,,,,,,,,,,,,,,,,,,,,,,,,,,
6234,,,,GTEX-14PQA-0003-SM-6RBJN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235,,,,GTEX-14PQA-0003-SM-7DLH4,,,,,,,,,,,,,,,,,,,,,,,,,,,
6236,,,,GTEX-14PQA-0006-SM-7PC2D,,,,,,,,,,,,,,,,,,,,,,,,,,,
6252,,,,GTEX-14XAO-0003-SM-6RBJA,,,,,,,,,,,,,,,,,,,,,,,,,,,
6253,,,,GTEX-14XAO-0003-SM-7DLF1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6254,,,,GTEX-14XAO-0006-SM-7RHFX,,,,,,,,,,,,,,,,,,,,,,,,,,,
6272,,,,GTEX-15CHC-0001-SM-6RBJF,,,,,,,,,,,,,,,,,,,,,,,,,,,
6273,,,,GTEX-15CHC-0001-SM-7DLH1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6274,,,,GTEX-15CHC-0006-SM-7P8RG,,,,,,,,,,,,,,,,,,,,,,,,,,,
6295,,,,GTEX-15CHQ-0002-SM-6RBKS,,,,,,,,,,,,,,,,,,,,,,,,,,,
6296,,,,GTEX-15CHQ-0002-SM-7DLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
6297,,,,GTEX-15CHQ-0005-SM-7P8RH,,,,,,,,,,,,,,,,,,,,,,,,,,,
6333,,,,GTEX-15CHR-0002-SM-6RBJC,,,,,,,,,,,,,,,,,,,,,,,,,,,
6334,,,,GTEX-15CHR-0002-SM-7DLH5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6335,,,,GTEX-15CHR-0005-SM-9KNUS,,,,,,,,,,,,,,,,,,,,,,,,,,,
6353,,,,GTEX-15CHS-0001-SM-6RBJP,,,,,,,,,,,,,,,,,,,,,,,,,,,
6354,,,,GTEX-15CHS-0001-SM-7DLFY,,,,,,,,,,,,,,,,,,,,,,,,,,,
6378,,,,GTEX-15D1Q-0004-SM-6RBJB,,,,,,,,,,,,,,,,,,,,,,,,,,,
6379,,,,GTEX-15D1Q-0004-SM-7DLFO,,,,,,,,,,,,,,,,,,,,,,,,,,,
6380,,,,GTEX-15D1Q-0006-SM-9KNTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
6392,,,,GTEX-15D79-0004-SM-6RBJR,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393,,,,GTEX-15D79-0004-SM-7DLH2,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394,,,,GTEX-15D79-0005-SM-7P8TS,,,,,,,,,,,,,,,,,,,,,,,,,,,
6399,,,,GTEX-15DCD-0001-SM-6RBJS,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400,,,,GTEX-15DCD-0001-SM-7DLGT,,,,,,,,,,,,,,,,,,,,,,,,,,,
6401,,,,GTEX-15DCD-0006-SM-7RHG4,,,,,,,,,,,,,,,,,,,,,,,,,,,
6431,,,,GTEX-15DCE-0003-SM-6RBJM,,,,,,,,,,,,,,,,,,,,,,,,,,,
6432,,,,GTEX-15DCE-0003-SM-7DLFB,,,,,,,,,,,,,,,,,,,,,,,,,,,
6433,,,,GTEX-15DCE-0005-SM-7SB7J,,,,,,,,,,,,,,,,,,,,,,,,,,,
6442,,,,GTEX-15DCZ-0001-SM-6RBKW,,,,,,,,,,,,,,,,,,,,,,,,,,,
6456,,,,GTEX-15DDE-0001-SM-6RBJO,,,,,,,,,,,,,,,,,,,,,,,,,,,
6457,,,,GTEX-15DDE-0001-SM-7DLFL,,,,,,,,,,,,,,,,,,,,,,,,,,,
6481,,,,GTEX-15DYW-0002-SM-6RBJG,,,,,,,,,,,,,,,,,,,,,,,,,,,
6482,,,,GTEX-15DYW-0002-SM-7DLFW,,,,,,,,,,,,,,,,,,,,,,,,,,,
6483,,,,GTEX-15DYW-0006-SM-7RHFR,,,,,,,,,,,,,,,,,,,,,,,,,,,
6515,,,,GTEX-15DZA-0004-SM-6RBJI,,,,,,,,,,,,,,,,,,,,,,,,,,,
6516,,,,GTEX-15DZA-0004-SM-7DLFX,,,,,,,,,,,,,,,,,,,,,,,,,,,
6517,,,,GTEX-15DZA-0005-SM-9JGFP,,,,,,,,,,,,,,,,,,,,,,,,,,,
6531,,,,GTEX-15EO6-0004-SM-6RBJH,,,,,,,,,,,,,,,,,,,,,,,,,,,
6532,,,,GTEX-15EO6-0004-SM-7DLGJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6533,,,,GTEX-15EO6-0005-SM-7PBZC,,,,,,,,,,,,,,,,,,,,,,,,,,,
6557,,,,GTEX-15EOM-0004-SM-6RBKT,,,,,,,,,,,,,,,,,,,,,,,,,,,
6558,,,,GTEX-15EOM-0004-SM-7DLFA,,,,,,,,,,,,,,,,,,,,,,,,,,,
6575,,,,GTEX-15ER7-0002-SM-6RBKV,,,,,,,,,,,,,,,,,,,,,,,,,,,
6576,,,,GTEX-15ER7-0002-SM-7DLFM,,,,,,,,,,,,,,,,,,,,,,,,,,,
6622,,,,GTEX-15ETS-0003-SM-6RBJE,,,,,,,,,,,,,,,,,,,,,,,,,,,
6623,,,,GTEX-15ETS-0003-SM-7DLGI,,,,,,,,,,,,,,,,,,,,,,,,,,,
6624,,,,GTEX-15ETS-0005-SM-9KNTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6639,,,,GTEX-15EU6-0003-SM-6RBJQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6640,,,,GTEX-15EU6-0003-SM-7DLFZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6641,,,,GTEX-15EU6-0005-SM-7P8RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6687,,,,GTEX-15G19-0001-SM-6RBJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6688,,,,GTEX-15G19-0001-SM-7J38Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
6689,,,,GTEX-15G19-0006-SM-9KNW6,,,,,,,,,,,,,,,,,,,,,,,,,,,
6716,,,,GTEX-15G1A-0001-SM-6RBJD,,,,,,,,,,,,,,,,,,,,,,,,,,,
6717,,,,GTEX-15G1A-0001-SM-7J38P,,,,,,,,,,,,,,,,,,,,,,,,,,,
6718,,,,GTEX-15G1A-0006-SM-7PC1Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
6731,,,,GTEX-15RIE-0004-SM-6RBKY,,,,,,,,,,,,,,,,,,,,,,,,,,,
6732,,,,GTEX-15RIE-0004-SM-6UH2C,,,,,,,,,,,,,,,,,,,,,,,,,,,
6733,,,,GTEX-15RIE-0006-SM-7MKF8,,,,,,,,,,,,,,,,,,,,,,,,,,,
6752,,,,GTEX-15RIF-0004-SM-6RBL2,,,,,,,,,,,,,,,,,,,,,,,,,,,
6753,,,,GTEX-15RIF-0004-SM-6UH2F,,,,,,,,,,,,,,,,,,,,,,,,,,,
6754,,,,GTEX-15RIF-0005-SM-7RHGH,,,,,,,,,,,,,,,,,,,,,,,,,,,
6770,,,,GTEX-15RIG-0003-SM-6RBL9,,,,,,,,,,,,,,,,,,,,,,,,,,,
6771,,,,GTEX-15RIG-0003-SM-6UH2M,,,,,,,,,,,,,,,,,,,,,,,,,,,
6772,,,,GTEX-15RIG-0006-SM-7PC1N,,,,,,,,,,,,,,,,,,,,,,,,,,,
6779,,,,GTEX-15RJ7-0001-SM-6RBLA,,,,,,,,,,,,,,,,,,,,,,,,,,,
6780,,,,GTEX-15RJ7-0001-SM-6UH2H,,,,,,,,,,,,,,,,,,,,,,,,,,,
6781,,,,GTEX-15RJ7-0006-SM-7RHHM,,,,,,,,,,,,,,,,,,,,,,,,,,,
6797,,,,GTEX-15RJE-0003-SM-6RBL3,,,,,,,,,,,,,,,,,,,,,,,,,,,
6798,,,,GTEX-15RJE-0003-SM-6UH2G,,,,,,,,,,,,,,,,,,,,,,,,,,,
6799,,,,GTEX-15RJE-0006-SM-7PC1J,,,,,,,,,,,,,,,,,,,,,,,,,,,
6818,,,,GTEX-15SB6-0002-SM-6RBJK,,,,,,,,,,,,,,,,,,,,,,,,,,,
6819,,,,GTEX-15SB6-0002-SM-6UH1J,,,,,,,,,,,,,,,,,,,,,,,,,,,
6820,,,,GTEX-15SB6-0005-SM-7P8OO,,,,,,,,,,,,,,,,,,,,,,,,,,,
6835,,,,GTEX-15SDE-0001-SM-6RBLS,,,,,,,,,,,,,,,,,,,,,,,,,,,
6836,,,,GTEX-15SDE-0001-SM-6UH2N,,,,,,,,,,,,,,,,,,,,,,,,,,,
6837,,,,GTEX-15SDE-0006-SM-7PC19,,,,,,,,,,,,,,,,,,,,,,,,,,,
6852,,,,GTEX-15SHU-0001-SM-6RBL6,,,,,,,,,,,,,,,,,,,,,,,,,,,
6853,,,,GTEX-15SHU-0001-SM-6UH2J,,,,,,,,,,,,,,,,,,,,,,,,,,,
6879,,,,GTEX-15SHV-0002-SM-6RBL7,,,,,,,,,,,,,,,,,,,,,,,,,,,
6880,,,,GTEX-15SHV-0002-SM-6UH2K,,,,,,,,,,,,,,,,,,,,,,,,,,,
6898,,,,GTEX-15SHW-0004-SM-6RBKO,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,,,,GTEX-15SHW-0004-SM-6UH2L,,,,,,,,,,,,,,,,,,,,,,,,,,,
6912,,,,GTEX-15SKB-0002-SM-6RBL4,,,,,,,,,,,,,,,,,,,,,,,,,,,
6913,,,,GTEX-15SKB-0002-SM-6UH2I,,,,,,,,,,,,,,,,,,,,,,,,,,,
6923,,,,GTEX-15SZO-0004-SM-6RBLK,,,,,,,,,,,,,,,,,,,,,,,,,,,
6924,,,,GTEX-15SZO-0004-SM-6UH2X,,,,,,,,,,,,,,,,,,,,,,,,,,,
6928,,,,GTEX-15TU5-0004-SM-6RBKZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6929,,,,GTEX-15TU5-0004-SM-6UH2D,,,,,,,,,,,,,,,,,,,,,,,,,,,
6950,,,,GTEX-15UF6-0001-SM-6RBL5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6951,,,,GTEX-15UF6-0001-SM-6UH2E,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974,,,,GTEX-15UF7-0003-SM-6RBLL,,,,,,,,,,,,,,,,,,,,,,,,,,,
6975,,,,GTEX-15UF7-0003-SM-6UH2Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
6987,,,,GTEX-15UKP-0003-SM-6RBJ5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6988,,,,GTEX-15UKP-0003-SM-6UH1I,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,,,,GTEX-169BO-0003-SM-6RBL1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,,,,GTEX-169BO-0003-SM-6UH2W,,,,,,,,,,,,,,,,,,,,,,,,,,,
7014,,,,GTEX-16A39-0004-SM-6RBLC,,,,,,,,,,,,,,,,,,,,,,,,,,,
7015,,,,GTEX-16A39-0004-SM-6UH2P,,,,,,,,,,,,,,,,,,,,,,,,,,,
7023,,,,GTEX-16AAH-0003-SM-6RBLI,,,,,,,,,,,,,,,,,,,,,,,,,,,
7024,,,,GTEX-16AAH-0003-SM-6UH2V,,,,,,,,,,,,,,,,,,,,,,,,,,,
7025,,,,GTEX-16AAH-0005-SM-7P8RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
7044,,,,GTEX-16BQI-0003-SM-6RBLB,,,,,,,,,,,,,,,,,,,,,,,,,,,
7045,,,,GTEX-16BQI-0003-SM-6UH2O,,,,,,,,,,,,,,,,,,,,,,,,,,,
7046,,,,GTEX-16BQI-0006-SM-7SB6K,,,,,,,,,,,,,,,,,,,,,,,,,,,
7061,,,,GTEX-16GPK-0003-SM-6RBLF,,,,,,,,,,,,,,,,,,,,,,,,,,,
7062,,,,GTEX-16GPK-0003-SM-6UH2S,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089,,,,GTEX-16MT8-0002-SM-6RBLH,,,,,,,,,,,,,,,,,,,,,,,,,,,
7090,,,,GTEX-16MT8-0002-SM-6UH2U,,,,,,,,,,,,,,,,,,,,,,,,,,,
7091,,,,GTEX-16MT8-0005-SM-7PBYO,,,,,,,,,,,,,,,,,,,,,,,,,,,
7110,,,,GTEX-16MT9-0004-SM-6RBLG,,,,,,,,,,,,,,,,,,,,,,,,,,,
7111,,,,GTEX-16MT9-0004-SM-6UH2T,,,,,,,,,,,,,,,,,,,,,,,,,,,
7112,,,,GTEX-16MT9-0006-SM-7MXTU,,,,,,,,,,,,,,,,,,,,,,,,,,,
7117,,,,GTEX-16MTA-0003-SM-6RBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
7118,,,,GTEX-16MTA-0003-SM-6UH2R,,,,,,,,,,,,,,,,,,,,,,,,,,,
7119,,,,GTEX-16MTA-0005-SM-7RHFT,,,,,,,,,,,,,,,,,,,,,,,,,,,
7133,,,,GTEX-16NFA-0003-SM-6RBLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
7134,,,,GTEX-16NFA-0003-SM-6UH2Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
7150,,,,GTEX-16NGA-0004-SM-6RBKH,,,,,,,,,,,,,,,,,,,,,,,,,,,
7151,,,,GTEX-16NGA-0004-SM-6UH29,,,,,,,,,,,,,,,,,,,,,,,,,,,
7152,,,,GTEX-16NGA-0006-SM-9JGFQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7175,,,,GTEX-16NPV-0003-SM-6RBJY,,,,,,,,,,,,,,,,,,,,,,,,,,,
7176,,,,GTEX-16NPV-0003-SM-6UH1Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
7177,,,,GTEX-16NPV-0005-SM-7PC2F,,,,,,,,,,,,,,,,,,,,,,,,,,,
7194,,,,GTEX-16NPX-0002-SM-6RBK7,,,,,,,,,,,,,,,,,,,,,,,,,,,
7195,,,,GTEX-16NPX-0002-SM-6UH1Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
7196,,,,GTEX-16NPX-0005-SM-7MKGG,,,,,,,,,,,,,,,,,,,,,,,,,,,
7209,,,,GTEX-16XZY-0002-SM-6RBKE,,,,,,,,,,,,,,,,,,,,,,,,,,,
7210,,,,GTEX-16XZY-0002-SM-6UH26,,,,,,,,,,,,,,,,,,,,,,,,,,,
7211,,,,GTEX-16XZY-0006-SM-7SB99,,,,,,,,,,,,,,,,,,,,,,,,,,,
7225,,,,GTEX-16XZZ-0001-SM-6RBK3,,,,,,,,,,,,,,,,,,,,,,,,,,,
7226,,,,GTEX-16XZZ-0001-SM-6UH1U,,,,,,,,,,,,,,,,,,,,,,,,,,,
7227,,,,GTEX-16XZZ-0006-SM-7MKF5,,,,,,,,,,,,,,,,,,,,,,,,,,,
7265,,,,GTEX-16YQH-0004-SM-6RBKA,,,,,,,,,,,,,,,,,,,,,,,,,,,
7266,,,,GTEX-16YQH-0004-SM-6UH22,,,,,,,,,,,,,,,,,,,,,,,,,,,
7267,,,,GTEX-16YQH-0006-SM-7P8OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7299,,,,GTEX-16Z82-0004-SM-6UH1S,,,,,,,,,,,,,,,,,,,,,,,,,,,
7300,,,,GTEX-16Z82-0005-SM-7PBXZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7328,,,,GTEX-178AV-0004-SM-6RBJU,,,,,,,,,,,,,,,,,,,,,,,,,,,
7329,,,,GTEX-178AV-0004-SM-6UH1M,,,,,,,,,,,,,,,,,,,,,,,,,,,
7330,,,,GTEX-178AV-0005-SM-9JGFM,,,,,,,,,,,,,,,,,,,,,,,,,,,
7345,,,,GTEX-17EUY-0003-SM-6RBKF,,,,,,,,,,,,,,,,,,,,,,,,,,,
7346,,,,GTEX-17EUY-0003-SM-6UH27,,,,,,,,,,,,,,,,,,,,,,,,,,,
7347,,,,GTEX-17EUY-0006-SM-7P8SB,,,,,,,,,,,,,,,,,,,,,,,,,,,
7361,,,,GTEX-17EVP-0004-SM-6RBJT,,,,,,,,,,,,,,,,,,,,,,,,,,,
7362,,,,GTEX-17EVP-0004-SM-6UH1L,,,,,,,,,,,,,,,,,,,,,,,,,,,
7363,,,,GTEX-17EVP-0005-SM-7P8RC,,,,,,,,,,,,,,,,,,,,,,,,,,,
7395,,,,GTEX-17EVQ-0001-SM-6RBK4,,,,,,,,,,,,,,,,,,,,,,,,,,,
7396,,,,GTEX-17EVQ-0001-SM-6UH1V,,,,,,,,,,,,,,,,,,,,,,,,,,,
7397,,,,GTEX-17EVQ-0006-SM-7MGWB,,,,,,,,,,,,,,,,,,,,,,,,,,,
7426,,,,GTEX-17F96-0002-SM-6RBJL,,,,,,,,,,,,,,,,,,,,,,,,,,,
7427,,,,GTEX-17F96-0002-SM-6UH1K,,,,,,,,,,,,,,,,,,,,,,,,,,,
7448,,,,GTEX-17F97-0002-SM-6RBLP,,,,,,,,,,,,,,,,,,,,,,,,,,,
7449,,,,GTEX-17F97-0002-SM-6UH2Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
7476,,,,GTEX-17F98-0003-SM-6RBKG,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477,,,,GTEX-17F98-0003-SM-6UH28,,,,,,,,,,,,,,,,,,,,,,,,,,,
7496,,,,GTEX-17F9E-0003-SM-6RBKR,,,,,,,,,,,,,,,,,,,,,,,,,,,
7497,,,,GTEX-17F9E-0003-SM-6UH2B,,,,,,,,,,,,,,,,,,,,,,,,,,,
7519,,,,GTEX-17F9Y-0004-SM-6RBJW,,,,,,,,,,,,,,,,,,,,,,,,,,,
7520,,,,GTEX-17F9Y-0004-SM-6UH1O,,,,,,,,,,,,,,,,,,,,,,,,,,,
7535,,,,GTEX-17GQL-0003-SM-6RBKD,,,,,,,,,,,,,,,,,,,,,,,,,,,
7536,,,,GTEX-17GQL-0003-SM-6UH25,,,,,,,,,,,,,,,,,,,,,,,,,,,
7537,,,,GTEX-17GQL-0005-SM-7MKF4,,,,,,,,,,,,,,,,,,,,,,,,,,,
7559,,,,GTEX-17HG3-0002-SM-6RBKU,,,,,,,,,,,,,,,,,,,,,,,,,,,
7560,,,,GTEX-17HG3-0006-SM-7MKFE,,,,,,,,,,,,,,,,,,,,,,,,,,,
7584,,,,GTEX-17HGU-0001-SM-6RBK5,,,,,,,,,,,,,,,,,,,,,,,,,,,
7585,,,,GTEX-17HGU-0001-SM-6UH1W,,,,,,,,,,,,,,,,,,,,,,,,,,,
7586,,,,GTEX-17HGU-0006-SM-7MXT8,,,,,,,,,,,,,,,,,,,,,,,,,,,
7611,,,,GTEX-17HHE-0002-SM-6RBJV,,,,,,,,,,,,,,,,,,,,,,,,,,,
7612,,,,GTEX-17HHE-0002-SM-6UH1N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7613,,,,GTEX-17HHE-0005-SM-7P8OT,,,,,,,,,,,,,,,,,,,,,,,,,,,
7638,,,,GTEX-17HHY-0002-SM-6RBK6,,,,,,,,,,,,,,,,,,,,,,,,,,,
7639,,,,GTEX-17HHY-0002-SM-6UH1X,,,,,,,,,,,,,,,,,,,,,,,,,,,
7640,,,,GTEX-17HHY-0006-SM-7MXT4,,,,,,,,,,,,,,,,,,,,,,,,,,,
7665,,,,GTEX-17HII-0004-SM-6RBK8,,,,,,,,,,,,,,,,,,,,,,,,,,,
7666,,,,GTEX-17HII-0004-SM-6UH1Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
7667,,,,GTEX-17HII-0005-SM-7MKF6,,,,,,,,,,,,,,,,,,,,,,,,,,,
7698,,,,GTEX-17JCI-0004-SM-6RBKB,,,,,,,,,,,,,,,,,,,,,,,,,,,
7699,,,,GTEX-17JCI-0004-SM-6UH23,,,,,,,,,,,,,,,,,,,,,,,,,,,
7700,,,,GTEX-17JCI-0005-SM-7P8OL,,,,,,,,,,,,,,,,,,,,,,,,,,,
7726,,,,GTEX-17KNJ-0003-SM-6RBJX,,,,,,,,,,,,,,,,,,,,,,,,,,,
7727,,,,GTEX-17KNJ-0003-SM-6UH1P,,,,,,,,,,,,,,,,,,,,,,,,,,,
7728,,,,GTEX-17KNJ-0005-SM-7PBYB,,,,,,,,,,,,,,,,,,,,,,,,,,,
7757,,,,GTEX-17MF6-0002-SM-6RBK9,,,,,,,,,,,,,,,,,,,,,,,,,,,
7758,,,,GTEX-17MF6-0002-SM-6UH21,,,,,,,,,,,,,,,,,,,,,,,,,,,
7759,,,,GTEX-17MF6-0006-SM-7MXT6,,,,,,,,,,,,,,,,,,,,,,,,,,,
7786,,,,GTEX-17MFQ-0003-SM-6RBKC,,,,,,,,,,,,,,,,,,,,,,,,,,,
7787,,,,GTEX-17MFQ-0003-SM-6UH24,,,,,,,,,,,,,,,,,,,,,,,,,,,
7788,,,,GTEX-17MFQ-0006-SM-7PBXP,,,,,,,,,,,,,,,,,,,,,,,,,,,
7805,,,,GTEX-183FY-0003-SM-6RBJZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7806,,,,GTEX-183FY-0003-SM-6UH1R,,,,,,,,,,,,,,,,,,,,,,,,,,,
7807,,,,GTEX-183FY-0005-SM-9KNTO,,,,,,,,,,,,,,,,,,,,,,,,,,,
7825,,,,GTEX-183WM-0004-SM-6RBK2,,,,,,,,,,,,,,,,,,,,,,,,,,,
7826,,,,GTEX-183WM-0004-SM-6UH1T,,,,,,,,,,,,,,,,,,,,,,,,,,,
7827,,,,GTEX-183WM-0005-SM-9JGFW,,,,,,,,,,,,,,,,,,,,,,,,,,,
7850,,,,GTEX-18464-0004-SM-DINAW,,,,,,,,,,,,,,,,,,,,,,,,,,,
7851,,,,GTEX-18464-0004-SM-DJWXS,,,,,,,,,,,,,,,,,,,,,,,,,,,
7861,,,,GTEX-18465-0002-SM-DINCG,,,,,,,,,,,,,,,,,,,,,,,,,,,
7862,,,,GTEX-18465-0002-SM-DJWXW,,,,,,,,,,,,,,,,,,,,,,,,,,,
7863,,,,GTEX-18465-0006-SM-7SB6R,,,,,,,,,,,,,,,,,,,,,,,,,,,
7891,,,,GTEX-18A66-0002-SM-DINAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
7892,,,,GTEX-18A66-0002-SM-DLIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7893,,,,GTEX-18A66-0005-SM-7SB6U,,,,,,,,,,,,,,,,,,,,,,,,,,,
7921,,,,GTEX-18A67-0003-SM-DINAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
7922,,,,GTEX-18A67-0003-SM-DJWXP,,,,,,,,,,,,,,,,,,,,,,,,,,,
7923,,,,GTEX-18A67-0006-SM-7SB6T,,,,,,,,,,,,,,,,,,,,,,,,,,,
7947,,,,GTEX-18A6Q-0003-SM-DINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
7948,,,,GTEX-18A6Q-0003-SM-DJWXQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7949,,,,GTEX-18A6Q-0005-SM-9KNVX,,,,,,,,,,,,,,,,,,,,,,,,,,,
7980,,,,GTEX-18A7A-0002-SM-6RBLJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7981,,,,GTEX-18A7A-0002-SM-6UH2A,,,,,,,,,,,,,,,,,,,,,,,,,,,
7982,,,,GTEX-18A7A-0006-SM-7PC1P,,,,,,,,,,,,,,,,,,,,,,,,,,,
8006,,,,GTEX-18A7B-0004-SM-DINCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
8007,,,,GTEX-18A7B-0004-SM-DJWXU,,,,,,,,,,,,,,,,,,,,,,,,,,,
8008,,,,GTEX-18A7B-0005-SM-7PC1D,,,,,,,,,,,,,,,,,,,,,,,,,,,
8021,,,,GTEX-18D9A-0005-SM-7SB7H,,,,,,,,,,,,,,,,,,,,,,,,,,,
8042,,,,GTEX-18D9B-0004-SM-DINCD,,,,,,,,,,,,,,,,,,,,,,,,,,,
8043,,,,GTEX-18D9B-0005-SM-7PBYL,,,,,,,,,,,,,,,,,,,,,,,,,,,
8066,,,,GTEX-18D9U-0001-SM-DINAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
8067,,,,GTEX-18D9U-0001-SM-DJWXR,,,,,,,,,,,,,,,,,,,,,,,,,,,
8068,,,,GTEX-18D9U-0006-SM-7SB6M,,,,,,,,,,,,,,,,,,,,,,,,,,,
