,Adipose Tissue,Adrenal Gland,Bladder,Blood,Blood Vessel,Bone Marrow,Brain,Breast,Cervix Uteri,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Salivary Gland,Skin,Small Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
310,,,,GTEX-11DXX-0004-SM-6WBT9,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,GTEX-11DXX-0005-SM-5NQ8B,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,GTEX-11DXY-0004-SM-58Q7Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,GTEX-11DXY-0004-SM-5DWST,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,GTEX-11DXY-0004-SM-6WBTO,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,GTEX-11DXY-0006-SM-5NQ8N,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,GTEX-11DXZ-0003-SM-58Q7X,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,,,GTEX-11DXZ-0003-SM-5DWSR,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,,,GTEX-11DXZ-0003-SM-6WBTM,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,,,GTEX-11DXZ-0003-SM-CLTG6,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,,,GTEX-11DXZ-0006-SM-5LZZH,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,GTEX-11DYG-0004-SM-58Q7K,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,GTEX-11DYG-0004-SM-5DWSF,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,,,,GTEX-11DYG-0004-SM-6WBTB,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,GTEX-11DYG-0006-SM-5NQB2,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,,,,GTEX-11DZ1-0002-SM-58Q7R,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,,,,GTEX-11DZ1-0002-SM-5DWSL,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,,,,GTEX-11DZ1-0002-SM-6WBTG,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,,,,GTEX-11DZ1-0002-SM-CLTG7,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,,,,GTEX-11EI6-0004-SM-58Q7L,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,,,,GTEX-11EI6-0004-SM-5DWSG,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,,,,GTEX-11EI6-0004-SM-6WBTC,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,,,,GTEX-11EI6-0004-SM-7FG6D,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,,,,GTEX-11EI6-0005-SM-5N9GN,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,,,,GTEX-11EM3-0001-SM-5Q5BD,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,,,,GTEX-11EM3-0004-SM-58Q9C,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,,,,GTEX-11EM3-0004-SM-5DWTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,,,,GTEX-11EM3-0004-SM-6WBUK,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,,,,GTEX-11EM3-0005-SM-5N9DK,,,,,,,,,,,,,,,,,,,,,,,,,,,
